vendor_id,vendor_name,payment_terms
V-2001,Milemarker Leasing Services,P60
V-2002,Lugnut Fleet Care,P45
V-2003,Navpoint Fleet Care,P30
V-2004,Gearshift Auto Traders,P30
V-2005,Milemarker Fleet Care,P60
V-2006,Navpoint Fleet Systems,P30
V-2007,Gearshift Supply,P45
V-2008,Fleetwise Mobility Parts,P15
V-2009,Navpoint Leasing Services,P15
V-2010,Navpoint Parts Co,P45
V-2011,Hubcap Mobility Parts,P15
V-2012,Fleetwise Trading,P45
V-2013,Kickdown Fleet Care,P15
V-2014,Junction Components,P15
V-2015,Overdrive Service Works,P30
V-2016,Hubcap Fleet Care,P60
V-2017,Lugnut Components,P45
V-2018,Axlebrook Mobility Parts,P15
V-2019,Milemarker Parts Co,P45
V-2020,Fleetwise Leasing Services,P30
V-2021,Milemarker Mobility Parts,P30
V-2022,Junction Auto Traders,P30
V-2023,Junction Parts Co,P15
V-2024,Drivewell Mobility Parts,P45
V-2025,Kickdown Components,P60
V-2026,Axlebrook Parts Co,P45
V-2027,Drivewell Parts Co,P15
V-2028,Hubcap Trading,P30
V-2029,Milemarker Supply,P60
V-2030,Brakesworth Components,P15
