customer_id,customer_name,customer_group,credit_limit
C-10001,Norberry Events,FLEET,100000
C-10002,Ridgeline Hotels,SILVER,50000
C-10003,Juniper Hotels,STANDARD,100000
C-10004,Elmridge Furniture,STANDARD,10000
C-10005,Pinemart Pharma,SILVER,25000
C-10006,Ridgeline Pharma,SILVER,50000
C-10007,Gulliver Furniture,GOLD,10000
C-10008,Valecrest Pharma,FLEET,150000
C-10009,Brightpine Pharma,STANDARD,50000
C-10007,GULLIVER FURNITURE,GOLD,150000
C-10011,Dunmore Media,GOLD,75000
C-10012,Stonebrook Grocery,STANDARD,150000
C-10013,Ridgeline Grocery,GOLD,150000
C-10014,Ironcrest Hotels,SILVER,25000
C-10015,Cedarfield Events,FLEET,25000
C-10016,Ridgeline Media,STANDARD,10000
C-10017,Elmridge Events,GOLD,150000
C-10018,Dunmore Textiles,FLEET,75000
C-10019,Mistral Logistics,SILVER,10000
C-10020,Kestrel Media,SILVER,150000
C-10021,Aldervale Events,FLEET,150000
C-10022,Stonebrook Logistics,GOLD,150000
C-10023,Elmridge Telecom,SILVER,50000
C-10024,Oakhurst Textiles,FLEET,150000
C-10015,CEDARFIELD EVENTS,STANDARD,75000
C-10026,Brightpine Manufacturing,STANDARD,75000
C-10027,Elmridge Grocery,FLEET,75000
C-10028,Elmridge Manufacturing,STANDARD,75000
C-10029,Mistral Furniture,STANDARD,75000
C-10030,Juniper Events,FLEET,50000
C-10031,Halloway Grocery,GOLD,50000
C-10032,Mistral Construction,GOLD,50000
C-10033,Mistral Telecom,STANDARD,25000
C-10034,Brightpine Events,SILVER,150000
C-10035,Mistral Sports,GOLD,25000
C-10036,Halloway Telecom,SILVER,150000
C-10037,Quillan Textiles,SILVER,10000
C-10038,Cedarfield Pharma,GOLD,150000
C-10039,Mistral Events,FLEET,50000
C-10040,Ridgeline Logistics,SILVER,150000
C-10041,Ridgeline Marine,STANDARD,150000
C-10042,Kestrel Travel,SILVER,150000
C-10043,Dunmore Marine,STANDARD,25000
C-10044,Valecrest Furniture,STANDARD,50000
